Intensitas_Belajar,Fokus_Belajar,Disiplin_Belajar,Interaksi_Belajar,Teknologi,Lingkungan_Belajar,Waktu_Efektif,Gaya_Belajar
Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Siang,Visual
Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Rendah,Malam,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Siang,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Malam,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Rendah,Malam,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Malam,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Rendah,Rendah,Tinggi,Rendah,Rendah,Rendah,Pagi,Kinestetik
Rendah,Tinggi,Rendah,Rendah,Rendah,Rendah,Pagi,Kinestetik
Rendah,Sedang,Sedang,Sedang,Rendah,Sedang,Siang,Kinestetik
Tinggi,Rendah,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Rendah,Sedang,Malam,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Pagi,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Malam,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Malam,Visual
Rendah,Tinggi,Rendah,Rendah,Sedang,Rendah,Malam,Kinestetik
Sedang,Tinggi,Rendah,Rendah,Sedang,Rendah,Siang,Kinestetik
Tinggi,Tinggi,Sedang,Tinggi,Sedang,Tinggi,Malam,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Siang,Visual
Tinggi,Rendah,Tinggi,Rendah,Rendah,Rendah,Pagi,Kinestetik
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Malam,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Malam,Visual
Rendah,Sedang,Sedang,Sedang,Rendah,Sedang,Siang,Kinestetik
Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Pagi,Visual
Sedang,Tinggi,Rendah,Rendah,Sedang,Rendah,Siang,Kinestetik
Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Sedang,Pagi,Visual
Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Malam,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Malam,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Tinggi,Sedang,Tinggi,Sedang,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Pagi,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Pagi,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Sedang,Tinggi,Rendah,Rendah,Sedang,Rendah,Pagi,Kinestetik
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Malam,Visual
Rendah,Tinggi,Sedang,Tinggi,Rendah,Tinggi,Pagi,Kinestetik
Rendah,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Sedang,Tinggi,Rendah,Rendah,Sedang,Rendah,Pagi,Kinestetik
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Malam,Visual
Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Rendah,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Sedang,Tinggi,Rendah,Sedang,Sedang,Tinggi,Malam,Kinestetik
Tinggi,Rendah,Tinggi,Tinggi,Sedang,Sedang,Siang,Auditori
Sedang,Sedang,Sedang,Sedang,Sedang,Tinggi,Malam,Kinestetik
Tinggi,Sedang,Rendah,Tinggi,Sedang,Sedang,Siang,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Rendah,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Malam,Visual
Sedang,Rendah,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Rendah,Tinggi,Rendah,Rendah,Tinggi,Tinggi,Siang,Kinestetik
Rendah,Tinggi,Rendah,Rendah,Tinggi,Tinggi,Malam,Kinestetik
Sedang,Rendah,Sedang,Rendah,Sedang,Sedang,Malam,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Malam,Kinestetik
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Malam,Kinestetik
Sedang,Tinggi,Sedang,Sedang,Rendah,Sedang,Siang,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Rendah,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Pagi,Visual
Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Rendah,Rendah,Tinggi,Rendah,Rendah,Rendah,Malam,Kinestetik
Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Pagi,Visual
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Pagi,Kinestetik
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Pagi,Kinestetik
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Pagi,Auditori
Tinggi,Rendah,Rendah,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Malam,Visual
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Siang,Kinestetik
Tinggi,Sedang,Sedang,Sedang,Rendah,Sedang,Malam,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Rendah,Sedang,Sedang,Sedang,Rendah,Tinggi,Malam,Visual
Rendah,Sedang,Sedang,Tinggi,Rendah,Sedang,Pagi,Visual
Sedang,Rendah,Rendah,Sedang,Sedang,Sedang,Pagi,Visual
Rendah,Tinggi,Sedang,Rendah,Sedang,Tinggi,Siang,Kinestetik
Sedang,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Visual
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Pagi,Kinestetik
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Siang,Kinestetik
Sedang,Rendah,Sedang,Rendah,Tinggi,Sedang,Siang,Visual
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Siang,Kinestetik
Rendah,Tinggi,Sedang,Rendah,Sedang,Tinggi,Pagi,Visual
Sedang,Sedang,Rendah,Rendah,Rendah,Tinggi,Malam,Visual
Tinggi,Sedang,Sedang,Sedang,Tinggi,Tinggi,Siang,Visual
Rendah,Sedang,Rendah,Sedang,Sedang,Sedang,Siang,Kinestetik
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Pagi,Auditori
Sedang,Rendah,Sedang,Rendah,Tinggi,Sedang,Siang,Kinestetik
Sedang,Rendah,Sedang,Tinggi,Tinggi,Tinggi,Siang,Auditori
Sedang,Rendah,Rendah,Rendah,Sedang,Rendah,Pagi,Visual
Sedang,Sedang,Rendah,Rendah,Rendah,Tinggi,Malam,Auditori
Rendah,Sedang,Rendah,Sedang,Sedang,Sedang,Siang,Kinestetik
Sedang,Sedang,Sedang,Sedang,Tinggi,Rendah,Siang,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Pagi,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Pagi,Auditori
Sedang,Tinggi,Sedang,Rendah,Sedang,Tinggi,Malam,Visual
Sedang,Sedang,Rendah,Tinggi,Sedang,Sedang,Siang,Visual
Rendah,Sedang,Tinggi,Tinggi,Tinggi,Rendah,Malam,Visual
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Siang,Kinestetik
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Pagi,Auditori
Tinggi,Sedang,Tinggi,Rendah,Tinggi,Tinggi,Pagi,Visual
Tinggi,Sedang,Sedang,Sedang,Sedang,Sedang,Siang,Auditori
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Siang,Kinestetik
Sedang,Sedang,Tinggi,Sedang,Sedang,Rendah,Malam,Visual
Sedang,Sedang,Tinggi,Rendah,Rendah,Tinggi,Pagi,Auditori
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Pagi,Kinestetik
Sedang,Rendah,Tinggi,Rendah,Tinggi,Tinggi,Malam,Visual
Sedang,Rendah,Tinggi,Rendah,Tinggi,Tinggi,Malam,Visual
Sedang,Rendah,Rendah,Sedang,Tinggi,Sedang,Malam,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Sedang,Rendah,Tinggi,Rendah,Tinggi,Tinggi,Malam,Visual
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Pagi,Kinestetik
Sedang,Rendah,Tinggi,Rendah,Tinggi,Tinggi,Malam,Visual
Sedang,Tinggi,Rendah,Rendah,Sedang,Rendah,Siang,Kinestetik
Tinggi,Rendah,Sedang,Rendah,Tinggi,Rendah,Malam,Visual
Sedang,Tinggi,Rendah,Tinggi,Rendah,Sedang,Malam,Auditori
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Siang,Kinestetik
Sedang,Rendah,Tinggi,Rendah,Tinggi,Tinggi,Malam,Visual
Sedang,Rendah,Tinggi,Rendah,Tinggi,Tinggi,Malam,Visual
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Malam,Kinestetik
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Sedang,Sedang,Tinggi,Tinggi,Tinggi,Tinggi,Malam,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Pagi,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Sedang,Tinggi,Rendah,Tinggi,Rendah,Sedang,Pagi,Auditori
Rendah,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Malam,Visual
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Malam,Kinestetik
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Siang,Kinestetik
Sedang,Rendah,Tinggi,Rendah,Tinggi,Tinggi,Malam,Visual
Rendah,Rendah,Rendah,Rendah,Rendah,Rendah,Siang,Kinestetik
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Pagi,Auditori
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Pagi,Kinestetik
Tinggi,Sedang,Tinggi,Tinggi,Sedang,Tinggi,Malam,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Malam,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Sedang,Rendah,Tinggi,Rendah,Tinggi,Tinggi,Malam,Visual
Sedang,Rendah,Rendah,Rendah,Tinggi,Sedang,Siang,Visual
Sedang,Tinggi,Sedang,Sedang,Tinggi,Rendah,Pagi,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Pagi,Auditori
Tinggi,Sedang,Rendah,Rendah,Sedang,Tinggi,Siang,Visual
Rendah,Sedang,Sedang,Sedang,Tinggi,Tinggi,Malam,Auditori
Tinggi,Rendah,Tinggi,Rendah,Tinggi,Tinggi,Malam,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Sedang,Rendah,Tinggi,Rendah,Tinggi,Tinggi,Malam,Visual
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Pagi,Kinestetik
Sedang,Rendah,Sedang,Sedang,Rendah,Rendah,Siang,Auditori
Sedang,Sedang,Sedang,Sedang,Tinggi,Tinggi,Siang,Visual
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Malam,Kinestetik
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Pagi,Auditori
